ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
MLP,6.54,3.06,3.27,3.9,4.34,3.6,3.29,IBA
LRG,6.93,3.07,3.51,3.66,4.22,3.25,3.35,IBA
DTREE,5.19,3.23,3.67,4.4,4.58,3.56,3.37,IBA
SVM,6.61,3.28,3.41,3.54,4.71,3.06,3.39,IBA
ABC,5.81,3.34,3.25,3.62,4.24,4.3,3.43,IBA
SGD,6.01,3.57,3.64,3.58,4.49,3.2,3.52,IBA
KNN,5.82,2.92,3.91,3.86,3.98,3.9,3.61,IBA
RF,6.02,3.31,3.45,3.95,3.35,4.11,3.81,IBA
avarage,6.12,3.22,3.51,3.82,4.24,3.62,3.47,IBA
std,0.56,0.2,0.22,0.28,0.43,0.45,0.17,IBA
