ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.66,2.85,3.7,3.62,3.87,3.29,4.02,PRE
SVM,5.5,3.05,3.64,3.43,4.46,3.84,4.09,PRE
RF,4.2,3.6,3.22,3.48,4.98,4.4,4.11,PRE
DTREE,3.78,3.34,3.54,3.66,5.15,4.35,4.19,PRE
SGD,4.31,3.99,3.48,3.73,4.34,3.95,4.2,PRE
KNN,3.93,3.68,3.6,3.66,4.71,4.2,4.21,PRE
MLP,5.43,2.99,3.39,3.88,4.29,3.76,4.27,PRE
ABC,4.19,3.62,3.18,3.6,5.09,3.84,4.48,PRE
avarage,4.75,3.39,3.47,3.63,4.61,3.95,4.2,PRE
std,1.0,0.4,0.19,0.14,0.45,0.36,0.14,PRE
