ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
RF,5.99,3.48,3.16,3.66,3.79,4.39,3.54,AUC
SGD,5.22,3.64,3.37,3.54,4.25,4.17,3.81,AUC
DTREE,4.74,3.61,3.3,4.07,4.7,3.75,3.84,AUC
KNN,5.63,3.29,3.42,3.4,4.46,3.94,3.86,AUC
SVM,6.45,2.89,3.59,3.61,4.3,3.2,3.96,AUC
ABC,5.7,3.41,3.04,3.28,4.09,4.3,4.18,AUC
MLP,6.44,3.13,3.35,3.69,3.74,3.45,4.2,AUC
LRG,6.75,2.77,3.5,3.52,3.97,3.2,4.29,AUC
avarage,5.87,3.28,3.34,3.6,4.16,3.8,3.96,AUC
std,0.68,0.32,0.18,0.23,0.33,0.47,0.25,AUC
