ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
RF,6.19,3.44,3.52,3.61,3.36,4.39,3.49,GEO
KNN,5.98,3.11,3.68,3.38,4.17,4.16,3.53,GEO
SVM,6.66,2.91,3.73,3.59,4.3,3.11,3.7,GEO
SGD,5.5,3.52,3.52,3.43,4.19,4.14,3.7,GEO
DTREE,4.96,3.63,3.34,4.0,4.4,3.8,3.88,GEO
MLP,6.63,2.98,3.56,3.79,3.73,3.43,3.89,GEO
LRG,6.93,2.72,3.55,3.51,4.18,3.19,3.93,GEO
ABC,5.89,3.24,3.05,3.3,3.93,4.61,3.98,GEO
avarage,6.09,3.19,3.49,3.57,4.03,3.85,3.76,GEO
std,0.65,0.32,0.21,0.23,0.34,0.56,0.18,GEO
