ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SVM,2.02,3.84,3.45,4.89,5.4,4.81,3.58,REC
LRG,2.43,3.83,3.29,4.48,5.48,4.31,4.18,REC
MLP,2.19,3.87,3.25,4.22,5.53,4.73,4.2,REC
RF,2.58,4.01,3.39,3.56,5.88,4.33,4.26,REC
SGD,2.07,4.13,3.86,3.84,4.93,4.88,4.28,REC
KNN,1.66,4.41,3.43,4.4,6.07,3.37,4.66,REC
ABC,2.22,4.22,3.52,3.9,6.02,3.18,4.93,REC
DTREE,2.55,3.55,3.39,3.53,5.61,4.14,5.23,REC
avarage,2.22,3.98,3.45,4.1,5.62,4.22,4.42,REC
std,0.31,0.27,0.19,0.48,0.37,0.64,0.51,REC
