ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SVM,1.99,3.86,3.46,4.84,5.37,4.86,3.61,REC
SGD,2.16,4.16,3.81,3.89,5.03,4.98,3.97,REC
RF,2.57,4.03,3.44,3.65,5.97,4.36,3.98,REC
MLP,2.17,3.96,3.25,4.24,5.61,4.75,4.02,REC
LRG,2.39,3.89,3.25,4.51,5.52,4.34,4.1,REC
KNN,1.66,4.57,3.52,4.58,6.11,3.44,4.11,REC
ABC,2.25,4.27,3.57,4.02,6.06,3.21,4.61,REC
DTREE,2.56,3.63,3.48,3.57,5.66,4.22,4.89,REC
avarage,2.22,4.05,3.47,4.16,5.67,4.27,4.16,REC
std,0.3,0.29,0.18,0.46,0.37,0.64,0.4,REC
