ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.78,2.89,3.66,3.66,4.2,3.39,3.43,AUC
RF,6.01,3.47,3.19,3.61,3.74,4.42,3.57,AUC
SVM,6.49,2.98,3.63,3.61,4.4,3.3,3.59,AUC
DTREE,4.74,3.67,3.37,4.08,4.72,3.79,3.63,AUC
SGD,5.25,3.65,3.43,3.61,4.2,4.19,3.69,AUC
ABC,5.77,3.51,3.11,3.3,4.17,4.44,3.7,AUC
MLP,6.42,3.31,3.4,3.7,3.8,3.61,3.75,AUC
KNN,5.67,3.23,3.34,3.42,4.52,3.95,3.86,AUC
avarage,5.89,3.34,3.39,3.62,4.22,3.89,3.65,AUC
std,0.68,0.29,0.19,0.23,0.34,0.44,0.13,AUC
