ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
MLP,6.64,3.1,3.66,3.93,3.83,3.61,3.22,GEO
SVM,6.65,2.96,3.73,3.61,4.32,3.27,3.47,GEO
LRG,6.93,2.81,3.63,3.56,4.27,3.3,3.5,GEO
KNN,5.98,3.11,3.66,3.43,4.22,4.08,3.52,GEO
SGD,5.55,3.59,3.52,3.38,4.25,4.14,3.57,GEO
DTREE,4.98,3.69,3.35,4.11,4.47,3.8,3.61,GEO
RF,6.2,3.39,3.46,3.57,3.36,4.34,3.68,GEO
ABC,5.95,3.32,3.08,3.32,3.98,4.53,3.81,GEO
avarage,6.11,3.25,3.51,3.61,4.09,3.89,3.55,GEO
std,0.64,0.3,0.21,0.27,0.35,0.47,0.17,GEO
