ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SGD,2.35,3.98,3.7,3.66,4.9,4.77,4.64,F1
LRG,4.13,3.33,2.8,3.97,5.21,3.83,4.74,F1
SVM,3.13,3.27,3.05,4.39,5.06,4.3,4.8,F1
MLP,2.98,3.48,3.07,3.89,5.2,4.29,5.09,F1
ABC,2.9,3.86,3.24,3.56,5.66,3.28,5.51,F1
RF,3.48,3.4,2.88,3.12,5.24,4.18,5.7,F1
DTREE,2.58,3.46,3.15,3.41,5.25,4.07,6.09,F1
KNN,1.79,4.05,3.25,4.09,5.64,3.09,6.1,F1
avarage,2.92,3.6,3.14,3.76,5.27,3.98,5.33,F1
std,0.71,0.31,0.28,0.41,0.26,0.56,0.6,F1
