ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.69,2.9,3.8,3.74,3.93,3.48,3.46,PRE
SVM,5.52,3.1,3.77,3.54,4.59,3.89,3.59,PRE
SGD,4.36,4.11,3.6,3.78,4.37,4.06,3.73,PRE
KNN,3.98,3.75,3.67,3.69,4.73,4.22,3.96,PRE
MLP,5.38,3.07,3.46,3.93,4.39,3.77,4.01,PRE
RF,4.18,3.56,3.16,3.43,4.91,4.33,4.43,PRE
DTREE,3.61,3.22,3.4,3.55,5.0,4.24,4.98,PRE
ABC,4.04,3.56,3.19,3.5,4.95,3.71,5.05,PRE
avarage,4.72,3.41,3.51,3.65,4.61,3.96,4.15,PRE
std,1.04,0.41,0.25,0.17,0.37,0.3,0.61,PRE
