ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
RF,6.01,3.6,3.28,3.7,3.86,4.48,3.08,AUC
LRG,6.78,2.93,3.68,3.66,4.23,3.42,3.3,AUC
SVM,6.53,2.97,3.7,3.66,4.42,3.31,3.41,AUC
SGD,5.26,3.7,3.45,3.65,4.2,4.22,3.52,AUC
MLP,6.48,3.34,3.49,3.78,3.8,3.55,3.56,AUC
KNN,5.66,3.29,3.47,3.39,4.57,3.95,3.67,AUC
ABC,5.79,3.43,3.07,3.24,4.2,4.36,3.91,AUC
DTREE,4.75,3.61,3.26,4.0,4.65,3.79,3.94,AUC
avarage,5.91,3.36,3.43,3.63,4.24,3.88,3.55,AUC
std,0.69,0.29,0.21,0.23,0.3,0.44,0.29,AUC
