ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
MLP,6.61,3.18,3.55,3.84,4.16,3.58,3.07,IBA
SVM,6.6,2.93,3.77,3.71,4.51,3.37,3.11,IBA
LRG,6.93,2.97,3.71,3.56,4.4,3.25,3.18,IBA
SGD,5.45,3.66,3.48,3.52,4.39,4.11,3.39,IBA
RF,6.15,3.42,3.39,3.61,3.48,4.42,3.53,IBA
KNN,5.9,3.04,3.59,3.39,4.4,4.04,3.63,IBA
ABC,5.89,3.34,3.16,3.25,4.16,4.46,3.74,IBA
DTREE,4.87,3.56,3.27,4.04,4.47,3.79,4.01,IBA
avarage,6.05,3.26,3.49,3.62,4.25,3.88,3.46,IBA
std,0.68,0.27,0.21,0.25,0.33,0.46,0.33,IBA
