ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
RF,2.51,3.95,3.36,3.54,5.98,4.3,4.37,REC
SGD,2.06,4.07,3.79,3.87,4.98,4.86,4.39,REC
SVM,1.98,3.65,3.34,4.71,5.25,4.62,4.45,REC
KNN,1.61,4.44,3.34,4.41,6.11,3.36,4.72,REC
LRG,2.39,3.74,3.19,4.28,5.4,4.25,4.75,REC
MLP,2.14,3.76,3.15,4.12,5.5,4.57,4.76,REC
DTREE,2.61,3.61,3.51,3.59,5.71,4.16,4.8,REC
ABC,2.22,4.3,3.51,3.91,6.06,3.18,4.83,REC
avarage,2.19,3.94,3.4,4.05,5.62,4.16,4.63,REC
std,0.32,0.31,0.2,0.41,0.41,0.6,0.2,REC
