ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.78,3.02,3.71,3.58,4.2,3.46,3.24,AUC
ABC,5.82,3.57,3.19,3.31,4.3,4.46,3.34,AUC
MLP,6.45,3.34,3.56,3.78,3.89,3.61,3.39,AUC
RF,6.01,3.43,3.24,3.64,3.82,4.43,3.43,AUC
SGD,5.22,3.69,3.46,3.64,4.25,4.21,3.52,AUC
SVM,6.52,2.97,3.75,3.61,4.35,3.26,3.53,AUC
KNN,5.65,3.34,3.47,3.46,4.49,4.02,3.57,AUC
DTREE,4.78,3.6,3.34,4.08,4.79,3.8,3.62,AUC
avarage,5.9,3.37,3.46,3.64,4.26,3.91,3.46,AUC
std,0.68,0.26,0.2,0.23,0.31,0.45,0.13,AUC
