ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
DTREE,4.71,3.49,3.23,4.09,4.64,3.69,4.15,AUC
RF,5.86,3.33,3.08,3.54,3.57,4.3,4.32,AUC
SGD,5.14,3.57,3.32,3.47,4.04,3.98,4.48,AUC
ABC,5.64,3.38,2.94,3.13,4.07,4.29,4.55,AUC
KNN,5.57,3.12,3.24,3.24,4.29,3.85,4.7,AUC
LRG,6.68,2.7,3.31,3.38,3.85,3.1,4.98,AUC
SVM,6.37,2.78,3.39,3.36,3.98,3.08,5.03,AUC
MLP,6.34,3.06,3.18,3.56,3.51,3.29,5.07,AUC
avarage,5.79,3.18,3.21,3.47,3.99,3.7,4.66,AUC
std,0.66,0.32,0.14,0.29,0.37,0.5,0.35,AUC
