ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,4.86,3.36,2.86,4.71,4.36,3.57,4.29,REC
ABC,2.14,3.43,3.71,3.43,5.36,5.21,4.71,REC
SVM,4.86,3.5,3.43,3.79,4.0,3.29,5.14,REC
RF,3.43,4.14,3.36,2.43,4.86,4.57,5.21,REC
DTREE,4.0,3.86,2.57,3.07,5.29,3.93,5.29,REC
SGD,4.14,3.5,4.0,2.86,4.36,3.43,5.71,REC
MLP,5.64,3.21,2.79,2.86,3.71,3.36,6.43,REC
KNN,3.0,4.43,1.93,3.71,4.57,3.86,6.5,REC
avarage,4.01,3.68,3.08,3.36,4.56,3.9,5.41,REC
std,1.13,0.42,0.67,0.72,0.58,0.67,0.77,REC
