ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.0,3.36,2.5,4.86,5.0,3.79,3.5,F1
SVM,5.21,3.57,3.07,4.0,4.29,3.57,4.29,F1
ABC,2.21,3.64,3.79,3.21,5.43,5.21,4.5,F1
RF,4.21,4.21,3.07,2.0,4.07,4.57,5.86,F1
DTREE,4.14,3.79,2.36,2.64,5.21,4.0,5.86,F1
KNN,3.57,4.07,1.93,3.93,4.43,3.86,6.21,F1
SGD,4.29,3.29,3.36,3.0,4.43,3.21,6.43,F1
MLP,6.0,3.07,2.5,3.07,3.43,3.36,6.57,F1
avarage,4.33,3.62,2.82,3.34,4.54,3.95,5.4,F1
std,1.14,0.39,0.6,0.89,0.65,0.66,1.14,F1
