ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.57,2.93,3.14,4.5,4.79,3.14,2.93,GEO
ABC,2.5,3.43,4.14,3.29,5.07,5.43,4.14,GEO
SVM,6.21,3.43,3.64,3.29,4.29,2.86,4.29,GEO
DTREE,4.71,4.0,2.36,3.43,4.57,3.71,5.21,GEO
RF,4.93,3.86,3.07,3.0,3.5,4.14,5.5,GEO
SGD,5.57,3.57,3.86,2.43,4.0,3.0,5.57,GEO
KNN,4.86,3.36,2.36,3.43,4.0,4.21,5.79,GEO
MLP,6.57,3.07,2.64,3.64,2.79,3.07,6.21,GEO
avarage,5.24,3.46,3.15,3.38,4.12,3.7,4.96,GEO
std,1.34,0.36,0.68,0.58,0.73,0.87,1.08,GEO
