ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.14,3.36,2.5,5.0,5.0,3.79,3.21,F1
SVM,5.07,3.57,3.07,4.0,4.43,3.57,4.29,F1
DTREE,4.43,4.07,2.36,2.79,5.5,4.14,4.71,F1
ABC,2.21,3.5,3.79,3.29,5.43,5.07,4.71,F1
RF,4.21,4.36,3.07,2.29,4.43,4.71,4.93,F1
SGD,4.71,3.29,3.64,3.14,4.57,3.64,5.0,F1
KNN,3.43,4.14,2.07,3.93,4.57,3.93,5.93,F1
MLP,6.29,3.07,2.5,3.07,3.43,3.36,6.29,F1
avarage,4.44,3.67,2.88,3.44,4.67,4.03,4.88,F1
std,1.22,0.46,0.62,0.84,0.66,0.59,0.95,F1
