ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.5,2.93,3.14,4.64,4.86,3.14,2.79,GEO
SVM,6.21,3.57,3.79,3.5,4.57,3.0,3.36,GEO
DTREE,4.79,4.43,2.57,3.57,4.79,4.0,3.86,GEO
RF,4.93,4.21,3.21,3.43,3.71,4.29,4.21,GEO
SGD,5.86,3.86,4.14,2.43,4.21,3.0,4.5,GEO
ABC,2.5,3.29,4.0,3.14,5.07,5.36,4.64,GEO
KNN,5.0,3.57,2.43,3.57,4.14,4.29,5.0,GEO
MLP,6.5,3.14,2.71,3.71,2.86,3.21,5.86,GEO
avarage,5.29,3.62,3.25,3.5,4.28,3.79,4.28,GEO
std,1.33,0.52,0.66,0.61,0.72,0.84,0.96,GEO
