ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.57,3.29,3.43,4.43,4.93,3.43,1.93,SPE
SVM,6.14,3.93,4.07,3.71,4.43,3.14,2.57,SPE
KNN,5.64,3.36,3.07,3.79,4.21,5.29,2.64,SPE
ABC,3.86,2.86,4.36,3.79,4.43,5.79,2.93,SPE
SGD,6.36,4.07,4.5,3.14,3.64,2.64,3.64,SPE
MLP,6.93,3.5,4.14,3.07,2.93,3.71,3.71,SPE
DTREE,4.36,5.21,3.14,4.14,3.93,3.14,4.07,SPE
RF,5.36,4.0,4.0,4.0,3.21,3.29,4.14,SPE
avarage,5.65,3.78,3.84,3.76,3.96,3.8,3.21,SPE
std,1.08,0.71,0.55,0.46,0.67,1.12,0.8,SPE
