ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,4.86,3.36,2.86,4.79,4.36,3.57,4.21,REC
RF,3.71,4.14,3.5,2.43,4.71,4.43,5.07,REC
ABC,2.14,3.43,3.71,3.29,5.36,4.93,5.14,REC
SVM,4.71,3.43,3.43,3.64,3.86,3.14,5.79,REC
KNN,3.07,4.29,2.07,3.86,4.86,4.0,5.86,REC
SGD,4.0,3.5,3.86,2.71,4.21,3.57,6.14,REC
MLP,5.57,3.21,2.79,3.0,3.86,3.36,6.21,REC
DTREE,3.71,3.71,2.29,2.79,5.14,3.79,6.57,REC
avarage,3.97,3.63,3.06,3.31,4.54,3.85,5.62,REC
std,1.08,0.39,0.66,0.76,0.56,0.59,0.77,REC
