ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.5,2.93,3.14,4.64,5.07,3.14,2.57,GEO
SVM,6.29,3.79,4.0,3.64,4.64,3.07,2.57,GEO
SGD,6.14,3.71,4.14,2.71,4.29,3.14,3.86,GEO
ABC,2.79,3.43,4.0,3.29,5.07,5.43,4.0,GEO
RF,4.86,4.29,3.14,3.5,3.5,4.36,4.36,GEO
KNN,4.71,3.36,2.43,3.36,4.07,4.29,5.79,GEO
MLP,6.64,3.07,2.79,3.79,2.86,3.07,5.79,GEO
DTREE,4.5,3.93,2.21,3.29,4.57,3.64,5.86,GEO
avarage,5.3,3.56,3.23,3.53,4.26,3.77,4.35,GEO
std,1.33,0.45,0.75,0.55,0.77,0.86,1.37,GEO
