ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,4.86,3.36,2.86,4.79,4.36,3.57,4.21,REC
SGD,4.43,3.64,4.0,3.0,4.64,3.71,4.57,REC
ABC,2.0,3.71,3.57,3.14,5.43,4.93,5.21,REC
SVM,4.79,3.43,3.43,3.79,4.0,3.14,5.43,REC
DTREE,4.0,3.71,2.29,2.93,5.57,3.93,5.57,REC
RF,3.43,3.93,3.36,2.36,4.71,4.57,5.64,REC
KNN,3.07,4.29,1.93,3.86,4.57,4.0,6.29,REC
MLP,5.64,3.21,2.79,2.86,3.71,3.36,6.43,REC
avarage,4.03,3.66,3.03,3.34,4.62,3.9,5.42,REC
std,1.16,0.34,0.69,0.76,0.64,0.6,0.76,REC
