ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,4.93,3.36,2.5,5.0,5.14,3.79,3.29,F1
SVM,5.14,3.71,3.21,4.0,4.29,3.57,4.07,F1
ABC,2.43,3.71,3.93,3.29,5.43,4.93,4.29,F1
SGD,4.71,3.57,3.79,3.14,4.71,3.57,4.5,F1
MLP,6.14,3.07,2.5,3.21,3.5,3.36,6.21,F1
KNN,3.57,4.0,1.93,3.93,4.29,4.0,6.29,F1
RF,4.0,4.14,3.0,2.0,3.93,4.36,6.57,F1
DTREE,4.0,3.64,2.21,2.5,4.93,3.71,7.0,F1
avarage,4.37,3.65,2.88,3.38,4.53,3.91,5.28,F1
std,1.12,0.34,0.73,0.93,0.65,0.51,1.39,F1
