ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.57,2.93,3.14,4.64,5.0,3.29,2.43,GEO
SVM,6.21,3.71,3.93,3.57,4.57,3.14,2.86,GEO
DTREE,4.79,4.29,2.57,3.57,5.0,4.0,3.79,GEO
RF,4.93,4.14,3.14,3.5,3.71,4.14,4.43,GEO
KNN,4.86,3.57,2.57,3.71,4.29,4.43,4.57,GEO
ABC,2.64,3.29,3.86,3.29,4.93,5.43,4.57,GEO
SGD,5.79,3.71,4.0,2.43,4.0,3.0,5.07,GEO
MLP,6.64,3.07,2.79,3.64,2.79,3.14,5.93,GEO
avarage,5.3,3.59,3.25,3.54,4.29,3.82,4.21,GEO
std,1.32,0.48,0.6,0.6,0.77,0.84,1.15,GEO
