ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.5,2.71,2.93,4.71,4.79,3.21,3.14,IBA
SVM,6.5,3.5,3.86,3.21,4.43,2.5,4.0,IBA
ABC,2.86,3.14,4.0,3.14,5.0,5.29,4.57,IBA
DTREE,4.71,3.93,2.36,3.43,5.0,3.57,5.0,IBA
RF,5.14,4.0,2.93,3.29,3.5,4.07,5.07,IBA
KNN,4.79,4.07,2.43,3.07,4.36,4.07,5.21,IBA
MLP,6.64,3.36,2.93,3.57,2.93,3.07,5.5,IBA
SGD,5.43,3.57,3.86,2.43,3.71,3.14,5.86,IBA
avarage,5.32,3.54,3.16,3.36,4.21,3.62,4.79,IBA
std,1.27,0.47,0.66,0.64,0.76,0.86,0.87,IBA
