alphas,area_GEO,volume_GEO,area_volume_ratio_GEO,edge_ratio_GEO,radius_ratio_GEO,aspect_ratio_GEO,max_solid_angle_GEO,min_solid_angle_GEO,solid_angle_GEO,area_IBA,volume_IBA,area_volume_ratio_IBA,edge_ratio_IBA,radius_ratio_IBA,aspect_ratio_IBA,max_solid_angle_IBA,min_solid_angle_IBA,solid_angle_IBA,area_AUC,volume_AUC,area_volume_ratio_AUC,edge_ratio_AUC,radius_ratio_AUC,aspect_ratio_AUC,max_solid_angle_AUC,min_solid_angle_AUC,solid_angle_AUC
1.0,4.35,4.61,3.97,3.73,4.43,3.89,3.69,3.65,3.66,4.36,4.67,4.03,3.82,4.47,3.95,3.76,3.72,3.78,4.47,4.76,4.11,3.87,4.6,4.03,3.91,3.81,3.82
1.5,4.15,4.39,3.94,3.69,4.4,3.79,3.55,3.55,3.62,4.18,4.45,4.03,3.78,4.49,3.83,3.6,3.67,3.66,4.3,4.53,4.07,3.87,4.56,3.99,3.71,3.69,3.77
2.0,4.14,4.34,3.75,3.57,4.46,3.74,3.4,3.49,3.45,4.15,4.35,3.77,3.63,4.5,3.77,3.49,3.59,3.54,4.24,4.47,3.85,3.67,4.59,3.9,3.56,3.71,3.65
2.5,4.03,4.36,3.78,3.55,4.34,3.74,3.4,3.45,3.45,4.07,4.38,3.78,3.59,4.38,3.75,3.41,3.51,3.51,4.18,4.46,3.89,3.72,4.46,3.9,3.53,3.59,3.61
3.0,3.97,4.4,3.75,3.49,4.4,3.68,3.35,3.53,3.45,3.99,4.42,3.75,3.5,4.39,3.66,3.4,3.61,3.49,4.11,4.46,3.89,3.58,4.49,3.82,3.48,3.68,3.55
3.5,3.96,4.23,3.65,3.44,4.37,3.67,3.39,3.35,3.38,3.99,4.22,3.65,3.45,4.37,3.65,3.42,3.4,3.45,4.14,4.27,3.78,3.52,4.44,3.77,3.52,3.49,3.48
4.0,3.95,4.33,3.64,3.53,4.4,3.69,3.33,3.44,3.36,3.98,4.31,3.66,3.54,4.39,3.7,3.35,3.47,3.42,4.06,4.42,3.74,3.61,4.47,3.81,3.43,3.54,3.53
4.5,4.01,4.35,3.71,3.53,4.25,3.83,3.38,3.37,3.3,4.01,4.36,3.69,3.53,4.27,3.79,3.41,3.43,3.38,4.12,4.46,3.79,3.58,4.34,3.9,3.53,3.46,3.43
5.0,3.98,4.32,3.76,3.57,4.28,3.71,3.3,3.39,3.33,4.01,4.31,3.78,3.55,4.27,3.68,3.35,3.43,3.37,4.05,4.41,3.86,3.65,4.36,3.79,3.41,3.51,3.42
5.5,4.08,4.28,3.62,3.48,4.34,3.8,3.28,3.5,3.34,4.07,4.26,3.63,3.44,4.36,3.8,3.29,3.52,3.39,4.18,4.37,3.72,3.51,4.39,3.87,3.31,3.55,3.46
6.0,4.05,4.25,3.77,3.61,4.34,3.74,3.36,3.34,3.33,4.04,4.24,3.72,3.58,4.31,3.72,3.35,3.38,3.35,4.12,4.37,3.82,3.63,4.41,3.86,3.44,3.45,3.44
6.5,3.94,4.31,3.74,3.4,4.39,3.77,3.39,3.39,3.37,3.93,4.29,3.72,3.4,4.4,3.73,3.38,3.39,3.4,4.05,4.34,3.81,3.45,4.44,3.81,3.45,3.46,3.47
7.0,4.0,4.42,3.71,3.5,4.21,3.84,3.39,3.45,3.3,3.97,4.39,3.73,3.47,4.21,3.8,3.39,3.47,3.35,4.05,4.44,3.79,3.54,4.29,3.87,3.46,3.54,3.4
7.5,4.02,4.33,3.68,3.6,4.32,3.66,3.37,3.49,3.3,4.0,4.35,3.64,3.57,4.32,3.62,3.39,3.5,3.35,4.13,4.43,3.76,3.65,4.41,3.73,3.48,3.54,3.4
8.0,4.07,4.34,3.61,3.61,4.42,3.68,3.35,3.38,3.36,4.06,4.32,3.59,3.56,4.4,3.64,3.38,3.4,3.37,4.17,4.45,3.7,3.58,4.47,3.75,3.41,3.43,3.45
8.5,4.07,4.33,3.76,3.72,4.29,3.74,3.4,3.52,3.37,4.05,4.32,3.78,3.71,4.27,3.72,3.41,3.52,3.4,4.17,4.4,3.88,3.74,4.32,3.84,3.46,3.57,3.43
9.0,4.1,4.35,3.57,3.57,4.29,3.76,3.39,3.38,3.33,4.07,4.36,3.55,3.53,4.32,3.74,3.38,3.43,3.36,4.19,4.44,3.64,3.6,4.39,3.77,3.46,3.49,3.42
9.5,4.03,4.28,3.75,3.57,4.33,3.83,3.35,3.3,3.4,4.04,4.25,3.72,3.56,4.29,3.8,3.35,3.29,3.4,4.13,4.37,3.8,3.56,4.37,3.9,3.42,3.31,3.45
