ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,4.14,3.56,3.11,4.38,5.25,4.07,3.5,F1
SVM,3.27,3.84,3.22,4.52,5.24,4.35,3.57,F1
MLP,3.28,3.53,2.81,4.47,5.43,4.65,3.83,F1
KNN,1.85,4.43,3.57,4.74,5.82,3.35,4.24,F1
SGD,2.89,3.95,3.84,3.95,4.7,4.22,4.44,F1
ABC,2.92,3.84,3.48,4.07,5.75,3.46,4.48,F1
RF,3.59,3.25,3.0,3.66,5.25,4.61,4.64,F1
DTREE,2.97,3.48,3.18,3.85,5.92,3.75,4.85,F1
avarage,3.11,3.74,3.28,4.2,5.42,4.06,4.19,F1
std,0.66,0.36,0.33,0.38,0.4,0.5,0.51,F1
