ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SGD,6.03,3.61,3.58,3.53,4.5,3.26,3.48,GEO
DTREE,5.07,3.21,3.61,4.28,4.55,3.46,3.82,GEO
SVM,6.68,3.13,3.36,3.5,4.44,2.97,3.92,GEO
KNN,5.98,2.84,3.83,3.74,3.8,3.85,3.97,GEO
RF,6.14,3.34,3.39,3.87,3.16,4.11,3.98,GEO
ABC,5.84,3.3,3.13,3.46,4.0,4.28,3.99,GEO
MLP,6.54,2.99,3.23,3.66,4.05,3.27,4.26,GEO
LRG,6.93,2.89,3.34,3.43,3.92,3.06,4.43,GEO
avarage,6.15,3.16,3.43,3.68,4.05,3.53,3.98,GEO
std,0.58,0.26,0.23,0.28,0.46,0.49,0.28,GEO
