ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
DTREE,5.43,3.4,3.95,4.4,4.09,3.3,3.42,SPE
RF,6.32,3.53,3.46,3.93,2.72,4.07,3.98,SPE
ABC,6.04,3.32,3.36,3.47,3.46,4.22,4.13,SPE
SGD,6.34,3.76,3.52,3.43,3.77,3.03,4.14,SPE
KNN,6.57,2.85,4.07,3.16,2.81,4.26,4.29,SPE
SVM,6.77,3.45,3.4,3.25,3.56,3.07,4.5,SPE
LRG,6.93,3.11,3.88,3.12,3.32,3.11,4.52,SPE
MLP,6.75,3.43,3.52,3.51,3.15,3.08,4.56,SPE
avarage,6.4,3.36,3.64,3.53,3.36,3.52,4.19,SPE
std,0.48,0.28,0.28,0.43,0.46,0.56,0.38,SPE
