ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
DTREE,4.96,3.28,3.5,4.24,4.89,3.39,3.75,AUC
ABC,5.58,3.18,3.06,3.61,4.38,4.23,3.97,AUC
KNN,5.47,3.16,3.79,3.86,4.02,3.67,4.04,AUC
RF,5.88,3.34,3.3,3.98,3.42,4.0,4.07,AUC
MLP,6.39,3.13,3.1,3.7,4.1,3.46,4.11,AUC
LRG,6.75,2.8,3.38,3.44,3.98,3.27,4.38,AUC
SGD,5.75,3.3,3.59,3.32,4.38,3.12,4.53,AUC
SVM,6.42,3.21,3.26,3.23,4.2,3.02,4.66,AUC
avarage,5.9,3.18,3.37,3.67,4.17,3.52,4.19,AUC
std,0.59,0.17,0.25,0.34,0.42,0.42,0.31,AUC
