ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
KNN,5.88,2.92,4.06,3.9,3.98,3.92,3.35,IBA
RF,6.06,3.37,3.5,3.98,3.48,4.17,3.43,IBA
ABC,5.79,3.26,3.32,3.62,4.21,4.3,3.5,IBA
SVM,6.61,3.21,3.39,3.48,4.6,3.02,3.68,IBA
SGD,6.07,3.43,3.58,3.5,4.45,3.2,3.76,IBA
MLP,6.55,2.93,3.2,3.77,4.17,3.48,3.91,IBA
DTREE,5.1,3.11,3.58,4.26,4.51,3.44,3.99,IBA
LRG,6.93,2.8,3.39,3.52,4.09,3.12,4.14,IBA
avarage,6.12,3.13,3.5,3.76,4.19,3.58,3.72,IBA
std,0.57,0.23,0.26,0.28,0.36,0.49,0.28,IBA
