ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
ABC,6.11,3.55,3.58,3.65,3.59,4.33,3.19,SPE
KNN,6.6,3.08,4.22,3.4,2.97,4.47,3.26,SPE
RF,6.33,3.59,3.57,4.02,2.86,4.16,3.47,SPE
DTREE,5.46,3.37,3.89,4.3,4.12,3.37,3.49,SPE
SVM,6.79,3.58,3.57,3.36,3.69,3.16,3.85,SPE
SGD,6.3,3.84,3.63,3.43,3.84,3.08,3.89,SPE
MLP,6.75,3.57,3.74,3.53,3.22,3.21,3.97,SPE
LRG,6.93,3.19,3.98,3.2,3.34,3.15,4.21,SPE
avarage,6.41,3.47,3.77,3.61,3.45,3.62,3.67,SPE
std,0.48,0.24,0.24,0.37,0.43,0.59,0.37,SPE
