ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
ABC,5.84,3.39,3.3,3.63,4.11,4.35,3.39,GEO
KNN,6.02,2.97,3.98,3.84,3.87,3.94,3.39,GEO
DTREE,5.09,3.29,3.63,4.34,4.61,3.53,3.51,GEO
RF,6.12,3.43,3.47,4.0,3.24,4.17,3.57,GEO
SVM,6.7,3.21,3.44,3.52,4.39,3.03,3.7,GEO
SGD,5.91,3.58,3.61,3.48,4.43,3.27,3.71,GEO
MLP,6.54,3.07,3.36,3.61,4.09,3.34,3.99,GEO
LRG,6.92,2.98,3.35,3.5,4.02,3.12,4.11,GEO
avarage,6.14,3.24,3.52,3.74,4.1,3.6,3.67,GEO
std,0.58,0.22,0.22,0.3,0.42,0.5,0.27,GEO
