ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
MLP,5.55,3.23,3.36,4.02,4.16,3.81,3.87,PRE
ABC,4.02,3.74,3.43,3.8,5.07,4.04,3.89,PRE
DTREE,3.91,3.4,3.47,4.11,5.42,3.75,3.94,PRE
RF,4.14,3.52,3.48,3.98,4.67,4.25,3.96,PRE
LRG,6.61,2.93,3.55,3.68,3.84,3.42,3.97,PRE
SVM,5.61,3.38,3.46,3.37,4.56,3.64,3.99,PRE
SGD,4.7,3.57,3.57,4.06,4.69,3.37,4.04,PRE
KNN,3.81,3.65,3.79,4.2,4.52,3.9,4.13,PRE
avarage,4.8,3.43,3.51,3.9,4.62,3.77,3.97,PRE
std,1.02,0.26,0.13,0.27,0.49,0.3,0.08,PRE
