ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.64,3.01,3.7,3.74,3.9,3.56,3.45,PRE
SVM,5.61,3.42,3.51,3.45,4.6,3.68,3.73,PRE
MLP,5.56,3.2,3.34,3.99,4.17,3.86,3.88,PRE
SGD,4.84,3.59,3.52,4.12,4.66,3.34,3.93,PRE
ABC,4.0,3.66,3.47,3.83,5.04,4.02,3.98,PRE
DTREE,3.92,3.36,3.5,4.11,5.34,3.73,4.03,PRE
KNN,3.89,3.58,3.83,4.16,4.5,3.93,4.11,PRE
RF,4.19,3.43,3.41,3.88,4.59,4.27,4.23,PRE
avarage,4.83,3.41,3.53,3.91,4.6,3.8,3.92,PRE
std,1.02,0.22,0.16,0.24,0.45,0.29,0.24,PRE
