ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SVM,3.29,3.82,3.16,4.49,5.15,4.35,3.74,F1
LRG,4.08,3.42,3.0,4.3,5.28,4.1,3.83,F1
MLP,3.3,3.52,2.74,4.37,5.43,4.7,3.93,F1
RF,3.7,3.39,3.1,3.77,5.33,4.71,3.99,F1
SGD,2.93,4.03,3.9,3.99,4.74,4.26,4.14,F1
ABC,2.92,3.93,3.48,4.09,5.84,3.52,4.22,F1
KNN,1.84,4.45,3.41,4.69,5.84,3.3,4.48,F1
DTREE,2.98,3.52,3.19,3.91,6.04,3.88,4.48,F1
avarage,3.13,3.76,3.25,4.2,5.46,4.1,4.1,F1
std,0.66,0.37,0.35,0.31,0.43,0.52,0.28,F1
