ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
MLP,2.36,3.73,3.11,4.52,5.48,4.89,3.92,REC
SVM,2.15,3.97,3.34,4.75,5.27,4.54,3.98,REC
LRG,2.49,3.79,3.33,4.61,5.45,4.33,4.0,REC
SGD,2.51,4.04,4.06,4.09,4.73,4.36,4.21,REC
RF,2.54,3.8,3.26,3.99,5.61,4.5,4.3,REC
ABC,2.35,4.11,3.74,4.28,5.94,3.25,4.34,REC
DTREE,2.67,3.57,3.1,3.88,6.18,4.01,4.59,REC
KNN,1.57,4.45,3.42,4.67,5.86,3.38,4.65,REC
avarage,2.33,3.93,3.42,4.35,5.57,4.16,4.25,REC
std,0.34,0.27,0.33,0.33,0.45,0.58,0.27,REC
