ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
ABC,6.07,3.66,3.54,3.68,3.68,4.3,3.06,SPE
KNN,6.59,3.07,4.29,3.45,3.01,4.51,3.08,SPE
MLP,6.75,3.74,3.81,3.71,3.42,3.3,3.26,SPE
SGD,6.36,3.95,3.64,3.53,3.87,3.2,3.44,SPE
LRG,6.93,3.43,4.09,3.31,3.45,3.28,3.5,SPE
DTREE,5.41,3.36,3.92,4.39,3.98,3.32,3.62,SPE
RF,6.31,3.55,3.54,4.07,2.78,4.1,3.65,SPE
SVM,6.76,3.66,3.59,3.4,3.7,3.21,3.67,SPE
avarage,6.4,3.55,3.8,3.69,3.49,3.65,3.41,SPE
std,0.49,0.27,0.28,0.37,0.42,0.55,0.25,SPE
