ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SGD,2.48,4.0,3.95,4.05,4.63,4.33,4.57,REC
SVM,2.1,3.78,3.24,4.66,5.21,4.32,4.7,REC
LRG,2.43,3.52,3.25,4.45,5.39,4.08,4.88,REC
MLP,2.3,3.53,2.91,4.39,5.3,4.57,5.0,REC
RF,2.41,3.61,3.15,3.8,5.46,4.38,5.2,REC
ABC,2.24,3.92,3.57,4.1,5.75,3.1,5.32,REC
KNN,1.57,4.26,3.36,4.47,5.75,3.25,5.34,REC
DTREE,2.54,3.3,2.99,3.73,6.02,3.88,5.54,REC
avarage,2.26,3.74,3.3,4.2,5.44,3.99,5.07,REC
std,0.31,0.31,0.33,0.34,0.42,0.54,0.34,REC
