ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
RF,5.89,3.46,3.52,4.13,3.61,4.14,3.25,AUC
MLP,6.43,3.24,3.29,3.78,4.27,3.68,3.31,AUC
SGD,5.87,3.52,3.76,3.45,4.59,3.38,3.43,AUC
SVM,6.52,3.43,3.55,3.47,4.39,3.16,3.49,AUC
LRG,6.82,3.05,3.51,3.6,4.11,3.39,3.52,AUC
ABC,5.61,3.32,3.11,3.61,4.53,4.28,3.53,AUC
DTREE,4.94,3.31,3.46,4.24,4.84,3.34,3.87,AUC
KNN,5.41,3.2,3.86,3.97,4.02,3.66,3.88,AUC
avarage,5.94,3.32,3.51,3.78,4.3,3.63,3.54,AUC
std,0.63,0.15,0.24,0.3,0.38,0.4,0.23,AUC
