ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
KNN,6.01,2.95,3.99,3.9,3.95,4.0,3.2,GEO
RF,6.12,3.52,3.57,4.07,3.32,4.15,3.25,GEO
DTREE,5.14,3.34,3.71,4.41,4.61,3.48,3.3,GEO
ABC,5.79,3.45,3.32,3.58,4.12,4.39,3.34,GEO
MLP,6.57,3.18,3.48,3.72,4.23,3.48,3.35,GEO
LRG,6.93,3.12,3.48,3.65,4.16,3.25,3.4,GEO
SGD,6.02,3.58,3.61,3.56,4.51,3.28,3.43,GEO
SVM,6.68,3.25,3.46,3.61,4.54,3.01,3.46,GEO
avarage,6.16,3.3,3.58,3.81,4.18,3.63,3.34,GEO
std,0.57,0.21,0.2,0.3,0.42,0.49,0.09,GEO
