ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SGD,6.11,3.52,3.67,3.63,4.57,3.23,3.26,IBA
DTREE,5.08,3.32,3.74,4.35,4.66,3.53,3.31,IBA
SVM,6.62,3.29,3.44,3.53,4.68,3.11,3.33,IBA
LRG,6.93,3.01,3.51,3.66,4.22,3.3,3.36,IBA
ABC,5.78,3.36,3.32,3.58,4.26,4.34,3.36,IBA
MLP,6.56,3.0,3.35,3.86,4.29,3.56,3.39,IBA
KNN,5.87,2.89,4.01,3.86,3.96,3.91,3.5,IBA
RF,6.04,3.36,3.52,4.02,3.35,4.13,3.57,IBA
avarage,6.12,3.22,3.57,3.81,4.25,3.64,3.39,IBA
std,0.58,0.22,0.23,0.27,0.44,0.44,0.1,IBA
