ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SVM,3.23,3.76,3.03,4.46,5.13,4.25,4.14,F1
MLP,3.24,3.43,2.72,4.31,5.41,4.63,4.25,F1
SGD,2.93,4.02,3.87,4.03,4.64,4.24,4.27,F1
LRG,4.09,3.29,2.93,4.25,5.17,3.93,4.34,F1
DTREE,3.02,3.57,3.2,3.92,6.09,3.86,4.34,F1
RF,3.61,3.34,3.0,3.68,5.33,4.69,4.36,F1
ABC,2.91,3.86,3.42,4.02,5.79,3.47,4.54,F1
KNN,1.81,4.33,3.28,4.54,5.8,3.23,5.02,F1
avarage,3.11,3.7,3.18,4.15,5.42,4.04,4.41,F1
std,0.65,0.36,0.35,0.29,0.46,0.52,0.27,F1
