ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SGD,6.37,4.03,3.69,3.64,3.94,3.22,3.11,SPE
MLP,6.75,3.72,3.84,3.7,3.39,3.33,3.27,SPE
KNN,6.55,3.0,4.31,3.42,2.98,4.44,3.3,SPE
ABC,6.05,3.52,3.52,3.59,3.63,4.24,3.45,SPE
RF,6.35,3.59,3.61,4.02,2.76,4.15,3.52,SPE
DTREE,5.48,3.38,3.9,4.37,4.02,3.31,3.54,SPE
SVM,6.76,3.67,3.61,3.41,3.71,3.24,3.59,SPE
LRG,6.93,3.35,4.1,3.25,3.4,3.24,3.72,SPE
avarage,6.4,3.53,3.82,3.68,3.48,3.65,3.44,SPE
std,0.47,0.3,0.27,0.36,0.44,0.53,0.2,SPE
