ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SGD,6.02,3.34,3.57,3.42,4.37,3.11,4.17,IBA
ABC,5.73,3.16,3.11,3.48,4.03,4.28,4.2,IBA
LRG,6.93,2.84,3.34,3.53,4.02,3.07,4.27,IBA
RF,6.02,3.2,3.39,3.83,3.24,4.04,4.28,IBA
DTREE,4.97,3.08,3.48,4.18,4.39,3.4,4.49,IBA
SVM,6.58,3.05,3.19,3.31,4.4,2.92,4.55,IBA
KNN,5.75,2.73,3.66,3.63,3.67,3.61,4.93,IBA
MLP,6.46,2.74,3.02,3.61,3.94,3.25,4.98,IBA
avarage,6.06,3.02,3.35,3.62,4.01,3.46,4.49,IBA
std,0.61,0.23,0.22,0.27,0.4,0.49,0.32,IBA
