ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
RF,3.66,3.35,3.17,3.74,5.35,4.63,4.09,F1
KNN,1.8,4.53,3.48,4.71,5.9,3.33,4.24,F1
ABC,2.94,3.89,3.45,4.08,5.85,3.43,4.34,F1
MLP,3.21,3.41,2.61,4.31,5.37,4.66,4.43,F1
LRG,4.06,3.35,2.88,4.2,5.12,3.89,4.49,F1
DTREE,2.99,3.5,3.23,3.88,6.04,3.83,4.53,F1
SGD,2.86,4.03,3.8,3.92,4.71,4.14,4.53,F1
SVM,3.16,3.7,3.05,4.36,5.0,4.16,4.57,F1
avarage,3.09,3.72,3.21,4.15,5.42,4.01,4.4,F1
std,0.66,0.41,0.38,0.31,0.47,0.49,0.17,F1
