ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SGD,5.95,3.52,3.54,3.44,4.4,3.2,3.94,GEO
LRG,6.93,2.97,3.4,3.52,4.02,3.08,4.08,GEO
ABC,5.82,3.24,3.11,3.48,3.9,4.3,4.16,GEO
MLP,6.52,2.98,3.25,3.61,4.07,3.37,4.2,GEO
SVM,6.64,3.08,3.3,3.45,4.32,2.95,4.26,GEO
DTREE,5.04,3.1,3.54,4.2,4.4,3.3,4.42,GEO
KNN,5.93,2.76,3.66,3.56,3.7,3.79,4.61,GEO
RF,6.1,3.15,3.17,3.66,3.0,3.97,4.96,GEO
avarage,6.12,3.1,3.37,3.61,3.98,3.49,4.33,GEO
std,0.59,0.22,0.2,0.25,0.47,0.47,0.33,GEO
