ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SVM,3.23,3.7,3.07,4.43,5.14,4.18,4.25,F1
LRG,4.06,3.3,2.93,4.2,5.2,3.95,4.36,F1
RF,3.62,3.26,3.07,3.63,5.26,4.61,4.55,F1
MLP,3.22,3.43,2.61,4.27,5.28,4.54,4.65,F1
SGD,2.84,3.96,3.78,3.95,4.63,4.16,4.69,F1
ABC,2.84,3.75,3.39,4.02,5.75,3.38,4.88,F1
DTREE,2.89,3.37,3.12,3.82,5.98,3.78,5.03,F1
KNN,1.8,4.18,3.29,4.52,5.77,3.06,5.39,F1
avarage,3.06,3.62,3.16,4.11,5.38,3.96,4.72,F1
std,0.66,0.33,0.34,0.31,0.43,0.54,0.37,F1
