ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.65,3.05,3.72,3.77,3.98,3.5,3.34,PRE
SGD,4.86,3.65,3.63,4.13,4.74,3.41,3.58,PRE
SVM,5.63,3.4,3.51,3.48,4.63,3.72,3.63,PRE
KNN,3.88,3.68,3.86,4.28,4.6,4.03,3.67,PRE
MLP,5.55,3.25,3.37,4.07,4.25,3.84,3.68,PRE
RF,4.12,3.45,3.49,3.95,4.69,4.29,4.01,PRE
ABC,4.01,3.64,3.4,3.7,5.09,4.06,4.1,PRE
DTREE,3.89,3.23,3.48,4.08,5.37,3.68,4.27,PRE
avarage,4.82,3.42,3.56,3.93,4.67,3.82,3.78,PRE
std,1.03,0.23,0.17,0.26,0.44,0.3,0.31,PRE
