ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
KNN,5.85,2.93,3.99,3.97,4.04,3.95,3.26,IBA
SVM,6.61,3.29,3.46,3.57,4.7,3.11,3.27,IBA
LRG,6.93,3.01,3.54,3.69,4.27,3.28,3.28,IBA
MLP,6.54,3.06,3.29,3.86,4.26,3.6,3.39,IBA
RF,6.06,3.38,3.56,4.03,3.44,4.13,3.4,IBA
ABC,5.8,3.32,3.34,3.55,4.25,4.3,3.44,IBA
SGD,6.08,3.46,3.7,3.58,4.51,3.23,3.44,IBA
DTREE,5.15,3.19,3.61,4.25,4.57,3.48,3.75,IBA
avarage,6.13,3.2,3.56,3.81,4.26,3.64,3.4,IBA
std,0.56,0.19,0.22,0.26,0.39,0.45,0.16,IBA
