ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SVM,3.32,3.91,3.25,4.58,5.24,4.43,3.27,F1
LRG,4.13,3.51,3.05,4.36,5.24,4.02,3.69,F1
SGD,3.02,4.1,3.93,4.1,4.8,4.3,3.75,F1
MLP,3.23,3.5,2.8,4.43,5.46,4.68,3.9,F1
KNN,1.85,4.46,3.52,4.74,5.84,3.31,4.28,F1
RF,3.58,3.26,3.06,3.67,5.24,4.57,4.62,F1
DTREE,2.96,3.46,3.2,3.9,5.93,3.72,4.84,F1
ABC,2.85,3.8,3.47,4.01,5.7,3.34,4.84,F1
avarage,3.12,3.75,3.28,4.22,5.43,4.05,4.15,F1
std,0.65,0.4,0.35,0.36,0.38,0.54,0.58,F1
