ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
SGD,5.93,3.48,3.52,3.46,4.41,3.24,3.96,GEO
DTREE,5.04,3.16,3.57,4.26,4.42,3.35,4.2,GEO
RF,6.11,3.31,3.3,3.8,3.17,4.03,4.26,GEO
ABC,5.76,3.23,3.1,3.43,3.89,4.25,4.34,GEO
KNN,5.97,2.75,3.7,3.62,3.67,3.75,4.54,GEO
SVM,6.65,3.03,3.27,3.36,4.22,2.9,4.57,GEO
MLP,6.52,2.96,3.19,3.59,3.95,3.18,4.61,GEO
LRG,6.93,2.82,3.3,3.4,3.85,3.0,4.7,GEO
avarage,6.11,3.09,3.37,3.62,3.95,3.46,4.4,GEO
std,0.59,0.25,0.21,0.3,0.41,0.49,0.25,GEO
