ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
DTREE,5.53,3.35,3.87,4.4,3.98,3.32,3.54,SPE
RF,6.28,3.46,3.41,3.9,2.69,4.0,4.26,SPE
ABC,6.01,3.27,3.28,3.34,3.41,4.18,4.51,SPE
SGD,6.3,3.7,3.47,3.37,3.7,2.94,4.52,SPE
KNN,6.51,2.81,3.94,3.15,2.74,4.17,4.68,SPE
MLP,6.75,3.45,3.52,3.44,3.08,3.04,4.7,SPE
LRG,6.93,3.02,3.83,3.09,3.2,3.04,4.88,SPE
SVM,6.75,3.34,3.35,3.14,3.43,2.95,5.05,SPE
avarage,6.38,3.3,3.58,3.48,3.28,3.46,4.52,SPE
std,0.46,0.27,0.26,0.45,0.45,0.56,0.46,SPE
