ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
ABC,4.29,4.29,5.64,4.07,3.07,4.71,1.93,SPE
LRG,6.57,2.93,3.79,4.29,4.0,3.57,2.86,SPE
RF,6.0,4.07,3.0,4.86,2.07,4.07,3.93,SPE
SVM,6.21,2.43,3.71,3.86,4.5,3.29,4.0,SPE
KNN,5.14,3.64,4.14,2.21,4.07,4.29,4.5,SPE
MLP,6.64,3.29,3.5,2.79,3.21,3.93,4.64,SPE
DTREE,4.79,4.86,4.29,3.79,3.0,2.57,4.71,SPE
SGD,6.29,3.21,2.57,3.14,4.14,2.93,5.71,SPE
avarage,5.74,3.59,3.83,3.62,3.51,3.67,4.04,SPE
std,0.88,0.79,0.92,0.86,0.81,0.72,1.18,SPE
