ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.79,2.93,4.21,4.21,4.0,4.21,2.64,PRE
SVM,5.86,3.07,3.93,4.29,3.71,4.07,3.07,PRE
SGD,6.5,3.79,3.43,3.43,3.29,3.43,4.14,PRE
ABC,2.21,3.29,5.64,4.36,4.07,4.07,4.36,PRE
DTREE,3.93,4.43,3.14,2.64,5.36,3.93,4.57,PRE
KNN,3.71,4.14,4.07,2.79,4.86,3.43,5.0,PRE
RF,5.0,3.57,2.86,4.14,3.64,3.71,5.07,PRE
MLP,6.57,2.79,3.07,2.93,3.5,3.86,5.29,PRE
avarage,4.95,3.5,3.79,3.6,4.05,3.84,4.27,PRE
std,1.54,0.59,0.9,0.73,0.71,0.3,0.96,PRE
