ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.64,3.14,3.64,4.21,3.86,4.21,2.29,GEO
SVM,5.93,2.86,4.07,4.07,4.07,3.86,3.14,GEO
ABC,2.64,3.93,5.0,4.07,4.21,4.5,3.64,GEO
KNN,4.79,3.64,4.36,3.14,4.29,3.64,4.14,GEO
RF,5.57,3.43,3.07,4.14,3.14,4.29,4.36,GEO
DTREE,4.36,3.93,3.79,2.71,4.43,3.86,4.93,GEO
MLP,6.71,2.36,3.29,3.07,4.43,3.14,5.0,GEO
SGD,6.0,2.93,2.79,3.5,3.57,3.36,5.86,GEO
avarage,5.33,3.28,3.75,3.62,4.0,3.86,4.17,GEO
std,1.36,0.56,0.72,0.59,0.45,0.47,1.14,GEO
