ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.21,3.36,3.57,4.79,4.14,4.14,2.79,F1
ABC,2.07,3.93,4.64,4.14,5.36,3.64,4.21,F1
SVM,5.29,2.93,3.07,4.79,3.71,3.86,4.36,F1
KNN,3.14,4.14,3.64,3.0,4.86,3.71,5.5,F1
RF,5.21,3.36,2.43,3.86,3.71,3.86,5.57,F1
SGD,4.79,3.29,2.29,3.64,4.0,4.29,5.71,F1
MLP,6.0,2.5,2.79,2.64,3.93,4.29,5.86,F1
DTREE,3.43,3.93,3.07,2.14,4.93,3.86,6.64,F1
avarage,4.39,3.43,3.19,3.62,4.33,3.96,5.08,F1
std,1.35,0.55,0.76,0.97,0.63,0.25,1.22,F1
