ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.86,2.93,4.07,4.29,3.93,4.21,2.71,PRE
ABC,2.29,3.71,5.79,4.57,4.36,4.14,3.14,PRE
SVM,5.79,2.93,3.93,4.29,3.71,4.0,3.36,PRE
SGD,6.43,3.71,3.43,3.57,3.29,3.43,4.14,PRE
KNN,3.86,4.29,4.14,3.07,4.86,3.57,4.21,PRE
RF,4.79,3.79,2.79,4.14,3.79,3.64,5.07,PRE
MLP,6.57,2.86,2.93,2.93,3.57,3.93,5.21,PRE
DTREE,3.64,4.21,2.79,2.5,4.93,3.57,6.36,PRE
avarage,4.9,3.55,3.73,3.67,4.05,3.81,4.28,PRE
std,1.53,0.58,1.0,0.76,0.6,0.3,1.22,PRE
