ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.64,2.93,4.14,4.14,3.71,3.57,2.86,IBA
SVM,5.86,2.64,4.21,3.71,4.21,3.79,3.57,IBA
ABC,2.71,4.07,4.86,4.14,3.93,4.29,4.0,IBA
RF,5.5,3.43,3.14,4.29,3.36,3.93,4.36,IBA
KNN,4.57,3.57,4.0,2.86,4.43,3.71,4.86,IBA
MLP,6.86,2.07,3.21,3.21,4.07,3.5,5.07,IBA
DTREE,4.07,4.0,3.57,2.57,4.5,3.79,5.5,IBA
SGD,5.71,2.86,2.71,3.79,3.79,3.0,6.14,IBA
avarage,5.24,3.2,3.73,3.59,4.0,3.7,4.54,IBA
std,1.39,0.69,0.7,0.64,0.38,0.37,1.07,IBA
