ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.93,3.14,4.21,4.36,4.21,4.36,1.79,PRE
SVM,5.86,2.93,3.93,4.29,3.71,4.21,3.07,PRE
ABC,2.43,3.57,5.71,4.64,4.36,4.14,3.14,PRE
KNN,3.57,4.21,4.07,2.93,5.07,3.43,4.71,PRE
MLP,6.79,2.86,2.93,2.93,3.71,3.93,4.86,PRE
RF,4.86,3.64,2.86,4.0,3.64,3.64,5.36,PRE
SGD,6.29,3.29,3.36,3.29,3.14,3.0,5.64,PRE
DTREE,3.79,4.36,2.93,2.5,4.93,3.71,5.79,PRE
avarage,4.94,3.5,3.75,3.62,4.1,3.8,4.29,PRE
std,1.54,0.56,0.96,0.8,0.67,0.45,1.45,PRE
