ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,5.79,2.93,4.07,4.36,4.0,4.21,2.64,PRE
SVM,5.93,3.07,3.93,4.29,3.79,4.21,2.79,PRE
ABC,2.07,3.5,5.64,4.5,4.21,4.14,3.93,PRE
SGD,6.29,3.57,3.43,3.43,3.29,3.29,4.71,PRE
KNN,3.57,4.21,3.93,2.93,4.93,3.5,4.93,PRE
DTREE,3.86,4.29,3.0,2.57,5.36,3.93,5.0,PRE
MLP,6.57,2.86,2.93,2.93,3.64,3.93,5.14,PRE
RF,5.0,3.57,2.86,3.93,3.57,3.79,5.29,PRE
avarage,4.88,3.5,3.72,3.62,4.1,3.88,4.3,PRE
std,1.58,0.54,0.92,0.75,0.71,0.34,1.06,PRE
