ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DELAUNAY,unit
LRG,6.57,3.14,3.64,4.07,3.86,4.21,2.5,GEO
SVM,5.86,2.86,4.07,4.07,4.07,3.86,3.21,GEO
ABC,2.64,3.93,4.93,4.0,3.93,4.14,4.43,GEO
KNN,4.71,3.5,4.21,3.14,4.29,3.64,4.5,GEO
MLP,6.64,2.36,3.29,3.14,4.36,3.57,4.64,GEO
SGD,6.29,3.21,2.79,3.71,3.79,3.5,4.71,GEO
RF,5.29,3.5,2.93,4.14,3.07,4.29,4.79,GEO
DTREE,4.36,3.93,3.79,2.71,4.43,3.86,4.93,GEO
avarage,5.29,3.3,3.71,3.62,3.97,3.88,4.21,GEO
std,1.36,0.53,0.71,0.55,0.44,0.3,0.87,GEO
